,time,value
143112,2014-02-17 10:42:05.661,1.0
143113,2014-02-19 23:33:57.484,1.0
143114,2014-02-19 23:34:34.382,1.0
143115,2014-02-19 23:47:33.174,1.0
143116,2014-02-19 23:48:31.931,1.0
143117,2014-02-19 23:50:55.812,1.0
143118,2014-02-19 23:51:57.696,1.0
143119,2014-02-19 23:53:20.611,1.0
143120,2014-02-19 23:58:44.582,1.0
143121,2014-02-19 23:59:36.926,1.0
143122,2014-02-20 00:03:56.194,1.0
143123,2014-02-20 00:06:26.164,1.0
143124,2014-02-20 03:29:35.309,1.0
143125,2014-02-22 11:53:27.299,1.0
143126,2014-02-22 11:53:46.141,1.0
143127,2014-02-22 11:54:07.941,1.0
143128,2014-02-22 11:56:14.579,1.0
143129,2014-02-22 13:48:17.186,1.0
143130,2014-02-22 14:21:00.744,1.0
143131,2014-02-22 20:10:01.453,1.0
143132,2014-02-22 20:11:26.789,1.0
143133,2014-02-23 18:58:01.339,1.0
143134,2014-02-24 16:28:25.713,1.0
143135,2014-02-27 16:30:57.990,1.0
143136,2014-02-27 16:42:56.519,1.0
143137,2014-02-28 18:13:21.063,1.0
143138,2014-02-28 18:15:38.546,1.0
143139,2014-03-02 10:34:00.233,1.0
143140,2014-03-04 18:38:54.963,1.0
143141,2014-03-06 00:44:03.240,1.0
143142,2014-03-07 20:12:24.483,1.0
143143,2014-03-07 23:03:40.174,1.0
143144,2014-03-07 23:07:59.989,1.0
143145,2014-03-07 23:13:38.207,1.0
143146,2014-03-07 23:15:17.756,1.0
143147,2014-03-08 09:45:08.596,1.0
143148,2014-03-08 10:01:45.286,1.0
143149,2014-03-08 10:08:21.869,1.0
143150,2014-03-08 21:18:06.744,1.0
143151,2014-03-08 21:27:02.404,1.0
143152,2014-03-08 21:28:46.543,1.0
143153,2014-03-13 16:19:29.907,1.0
143154,2014-03-13 16:22:26.798,1.0
143155,2014-03-13 16:27:41.163,1.0
143156,2014-03-13 16:29:43.298,1.0
143157,2014-03-13 16:31:10.677,1.0
143158,2014-03-14 14:01:43.950,1.0
143159,2014-03-15 09:31:17.318,1.0
143160,2014-03-15 10:20:18.140,1.0
143161,2014-03-15 18:11:43.292,1.0
143162,2014-03-19 21:39:19.734,1.0
143163,2014-03-20 09:00:29.907,1.0
143164,2014-03-20 09:05:00.178,1.0
143165,2014-03-20 09:06:25.835,1.0
143166,2014-03-21 15:30:59.861,1.0
143167,2014-03-21 19:16:54.118,1.0
143168,2014-03-22 10:58:22.292,1.0
143169,2014-03-24 08:02:33.871,1.0
143170,2014-03-25 08:01:25.545,1.0
143171,2014-03-25 17:04:38.809,1.0
143172,2014-03-25 17:05:51.312,1.0
143173,2014-03-25 17:08:02.088,1.0
143174,2014-03-25 18:52:25.066,1.0
143175,2014-03-25 18:54:41.332,1.0
143176,2014-03-25 18:58:56.230,1.0
143177,2014-03-25 20:53:37.507,1.0
143178,2014-03-31 16:58:14.729,1.0
143179,2014-03-31 16:58:58.066,1.0
143180,2014-03-31 16:59:15.474,1.0
143181,2014-03-31 17:02:03.346,1.0
143182,2014-04-01 15:54:06.301,1.0
143183,2014-04-01 15:58:59.423,1.0
143184,2014-04-01 16:00:26.312,1.0
143185,2014-04-02 08:38:03.903,1.0
143186,2014-04-02 09:00:27.292,1.0
143187,2014-04-05 18:17:36.611,1.0
143188,2014-04-05 18:22:52.568,1.0
143189,2014-04-06 00:17:52.836,1.0
143190,2014-04-06 00:37:36.256,1.0
143191,2014-04-06 00:42:41.000,1.0
143192,2014-04-06 00:43:20.986,1.0
143193,2014-04-06 00:50:30.535,1.0
143194,2014-04-06 00:51:10.500,1.0
143195,2014-04-08 08:39:06.086,1.0
143196,2014-04-08 09:00:27.529,1.0
143197,2014-04-08 13:46:35.197,1.0
143198,2014-04-08 13:51:14.858,1.0
143199,2014-04-10 14:26:46.196,1.0
143200,2014-04-10 22:31:53.438,1.0
143201,2014-04-10 22:42:11.632,1.0
143202,2014-04-12 09:03:14.016,1.0
143203,2014-04-15 17:04:26.994,1.0
143204,2014-04-16 12:34:38.135,1.0
143205,2014-04-16 12:35:01.727,1.0
143206,2014-04-16 18:22:05.095,1.0
143207,2014-04-16 18:22:33.191,1.0
143208,2014-04-16 18:27:18.016,1.0
143209,2014-04-17 16:40:44.183,1.0
143210,2014-04-17 16:45:03.447,1.0
143211,2014-04-17 17:33:15.030,1.0
143212,2014-04-17 17:34:45.755,1.0
143213,2014-04-18 15:01:00.486,1.0
143214,2014-04-19 16:30:38.520,1.0
143215,2014-04-19 16:31:39.539,1.0
143216,2014-04-19 17:45:56.354,1.0
143217,2014-04-22 08:14:08.209,1.0
143218,2014-04-22 08:14:48.631,1.0
143219,2014-04-22 16:23:56.355,1.0
143220,2014-04-22 16:24:21.664,1.0
143221,2014-04-22 16:24:40.295,1.0
143222,2014-04-22 16:26:59.459,1.0
143223,2014-04-22 16:30:10.868,1.0
143224,2014-04-22 16:34:44.641,1.0
143225,2014-04-22 16:39:35.256,1.0
143226,2014-04-22 23:22:00.484,1.0
143227,2014-04-22 23:55:38.601,1.0
143228,2014-04-23 08:02:34.651,1.0
143229,2014-04-24 07:57:38.065,1.0
143230,2014-04-24 08:00:28.888,1.0
143231,2014-04-24 08:09:30.177,1.0
143232,2014-04-25 08:03:14.170,1.0
143233,2014-04-26 11:02:24.486,1.0
143234,2014-04-26 11:02:58.390,1.0
143235,2014-04-26 11:52:45.592,1.0
143236,2014-04-26 13:51:32.243,1.0
143237,2014-04-29 13:23:45.387,1.0
143238,2014-04-30 14:05:12.984,1.0
143239,2014-04-30 18:11:18.720,1.0
143240,2014-05-02 01:00:51.252,1.0
143241,2014-05-02 22:17:28.401,1.0
143242,2014-05-02 22:18:18.868,1.0
143243,2014-05-02 22:18:40.811,1.0
143244,2014-05-02 22:19:19.332,1.0
143245,2014-05-02 22:20:30.401,1.0
143246,2014-05-02 22:21:35.147,1.0
143247,2014-05-03 14:05:32.530,1.0
143248,2014-05-03 16:07:40.046,1.0
143249,2014-05-04 00:16:47.227,1.0
143250,2014-05-04 17:29:08.025,1.0
143251,2014-05-04 17:31:00.381,1.0
143252,2014-05-04 19:22:16.704,1.0
143253,2014-05-04 19:36:32.206,1.0
143254,2014-05-04 20:30:35.900,1.0
143255,2014-05-04 20:31:38.720,1.0
143256,2014-05-05 17:40:49.371,1.0
143257,2014-05-05 17:41:03.493,1.0
143258,2014-05-05 17:45:53.217,1.0
143259,2014-05-05 17:46:48.713,1.0
143260,2014-05-05 19:05:07.582,1.0
143261,2014-05-05 19:18:08.920,1.0
143262,2014-05-05 19:31:50.371,1.0
143263,2014-05-05 21:21:49.950,1.0
143264,2014-05-05 21:38:08.028,1.0
143265,2014-05-05 21:39:07.838,1.0
143266,2014-05-05 21:58:38.237,1.0
143267,2014-05-05 22:01:59.733,1.0
143268,2014-05-05 22:03:14.332,1.0
143269,2014-05-05 22:20:47.372,1.0
143270,2014-05-05 22:33:42.917,1.0
143271,2014-05-05 22:43:01.010,1.0
143272,2014-05-05 22:43:07.381,1.0
143273,2014-05-08 15:14:40.197,1.0
143274,2014-05-08 22:13:57.049,1.0
143275,2014-05-10 15:32:53.293,1.0
